Stock,"Market Cap","Current Price","High / Low","Stock P/E","Book Value","Dividend Yield",ROCE,ROE,"Face Value"
RKFORGE,"13,871",767,815,45.4,85.4,0.27,17.8,19.4,2.00
HERITGFOOD,"3,017",325,343,34.7,81.2,0.73,11.4,8.95,5.00
CARYSIL,"2,688","1,002","1,151",91.7,87.1,0.20,12.8,12.0,2.00
MSUMI,"31,328",70.9,74.8,53.6,2.98,0.91,43.8,39.8,1.00
COSMOFIRST,"1,412",538,773,25.1,446,0.91,16.9,19.1,10.0
FINEORG,"13,233","4,316","5,165",33.0,550,0.21,62.1,47.6,5.00
DMART,"2,49,556","3,835","4,206",96.1,275,0.00,20.9,16.8,10.0
SHAREINDIA,"7,009","1,999","2,040",23.4,300,0.42,54.6,44.4,10.0
JKCEMENT,"33,789","4,373","4,565",45.4,625,0.34,13.9,12.8,10.0
GAIL,"1,18,746",181,188,16.4,92.6,3.00,10.2,9.53,10.0
CHENNPETRO,"14,071",945,"1,036",4.53,512,2.84,45.5,77.9,10.0
HAPPSTMNDS,"12,862",845,"1,023",53.1,90.4,0.62,27.4,28.9,2.00
BHEL,"79,391",228,243,,76.1,0.17,3.19,1.56,2.00
AAVAS,"11,609","1,467","1,913",24.4,444,0.00,9.51,14.1,10.0
ASTRAMICRO,"5,958",628,694,79.5,92.4,0.25,18.0,12.3,2.00
